trace_name,algorithm,cache_size,cache_size_mb,miss_ratio,hit_ratio,throughput_mqps
cluster45,fifo,10485760,10,0.5084,0.4916,5.44
cluster45,fifo,52428800,50,0.4498,0.5502,5.43
cluster45,fifo,104857600,100,0.4362,0.5638,5.52
cluster45,fifo,209715200,200,0.4316,0.5684,6.02
cluster45,fifo,524288000,500,0.4316,0.5684,5.51
cluster45,lru,10485760,10,0.4973,0.5027,4.85
cluster45,lru,52428800,50,0.4410,0.5590,44.40
cluster45,lru,104857600,100,0.4324,0.5676,5.11
cluster45,lru,209715200,200,0.4316,0.5684,5.33
cluster45,lru,524288000,500,0.4316,0.5684,5.40
cluster45,clock,10485760,10,0.4924,0.5076,4.99
cluster45,clock,52428800,50,0.4403,0.5597,5.03
cluster45,clock,104857600,100,0.4322,0.5678,5.35
cluster45,clock,209715200,200,0.4316,0.5684,5.52
cluster45,clock,524288000,500,0.4316,0.5684,5.90
cluster45,sieve,10485760,10,0.4777,0.5223,4.75
cluster45,sieve,52428800,50,0.4411,0.5589,5.27
cluster45,sieve,104857600,100,0.4322,0.5678,5.70
cluster45,sieve,209715200,200,0.4316,0.5684,5.81
cluster45,sieve,524288000,500,0.4316,0.5684,5.76
cluster45,ghostsieve,10485760,10,0.4760,0.5240,2.83
cluster45,ghostsieve,52428800,50,0.4408,0.5592,3.53
cluster45,ghostsieve,104857600,100,0.4322,0.5678,4.37
cluster45,ghostsieve,209715200,200,0.4316,0.5684,4.33
cluster45,ghostsieve,524288000,500,0.4316,0.5684,4.62
