trace_name,algorithm,cache_size,miss_ratio,hit_ratio
cluster10_sample,fifo,500,0.500000,0.500000
cluster10_sample,fifo,1000,0.500000,0.500000
cluster10_sample,fifo,2000,0.500000,0.500000
cluster10_sample,fifo,5000,0.500000,0.500000
cluster10_sample,fifo,10000,0.500000,0.500000
cluster10_sample,lru,500,0.500000,0.500000
cluster10_sample,lru,1000,0.500000,0.500000
cluster10_sample,lru,2000,0.500000,0.500000
cluster10_sample,lru,5000,0.500000,0.500000
cluster10_sample,lru,10000,0.500000,0.500000
cluster10_sample,clock,500,0.500000,0.500000
cluster10_sample,clock,1000,0.500000,0.500000
cluster10_sample,clock,2000,0.500000,0.500000
cluster10_sample,clock,5000,0.500000,0.500000
cluster10_sample,clock,10000,0.500000,0.500000
cluster10_sample,sieve,500,0.500200,0.499800
cluster10_sample,sieve,1000,0.500100,0.499900
cluster10_sample,sieve,2000,0.500100,0.499900
cluster10_sample,sieve,5000,0.500000,0.500000
cluster10_sample,sieve,10000,0.500000,0.500000
cluster10_sample,ghostsieve,500,0.500200,0.499800
cluster10_sample,ghostsieve,1000,0.500100,0.499900
cluster10_sample,ghostsieve,2000,0.500100,0.499900
cluster10_sample,ghostsieve,5000,0.500000,0.500000
cluster10_sample,ghostsieve,10000,0.500000,0.500000
